sysname,chassis,source_ip,interface,lag,port,port_type,address,isis,mpls,rsvp,queue-policy,qos,card,mda,fabric_network,fabric_access
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,1,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,2,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,3,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,4,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,5,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,6,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,7,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,8,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,11,21,21
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EAM,,1/11/8,xcme,10.190.44.85/31,0,1,1,7705-IPMEAN-internal:1G,100,1,12,21,21
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,1,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,2,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,3,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,4,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,5,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,6,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,7,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,8,10,10
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,11,21,21
PUEMTX-PUE7020-AA,7705,10.190.2.158,To-PUEBLA-EBM,,1/12/8,xcme,10.190.44.89/31,0,1,1,7705-IPMEAN-internal:1G,100,1,12,21,21
