sysname,chassis,source_ip,l2vpn,service_id,service_name,customer_id,sap,ingress_qos_id,egress_qos_id,port,policy,card,buffer_min,buffer_max,resv_min,resv_max,shutdown
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,100,rvpls-100,2,2/1/7,50,50,2/1/7,,2,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,100,rvpls-100,2,2/1/8,50,50,2/1/8,,2,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,218016,INTERCON-GSM-PUE-TELE,2,1/1/5:1790,2000,2000,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,218059,ENLACE-MPLS-R7-A3,2,1/1/5:1859,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227001,VPLS_GSM_To-OAXGTAC07-WAM,2,1/1/5:1934,2000,2000,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,1/1/5:133,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/1:133,10,10,2/1/1,,2,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/2:133,10,10,2/1/2,PS-IPMEAN-access:Mobile,2,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/5:133,10,10,2/1/5,PS-IPMEAN-access:Mobile,2,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/6:133,10,10,2/1/6,PS-IPMEAN-access:Mobile,2,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227120,TO-PTN1,2,1/1/5:204,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227121,227121,2,1/1/5:203,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227122,TO-PTN1_2,2,1/1/5:201,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227123,TO-PTN1_3,2,1/1/5:202,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227124,227124,2,1/1/5:210,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227125,227125,2,1/1/5:213,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227126,TO-PTN1_6,2,1/1/5:205,10,10,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227127,TO-PTN2_1,2,1/1/5:300,3000,3000,1/1/5,PS-IPMEAN-access:Mobile,1,25.00,25.00,30.00,30.00,no
