sysname,chassis,source_ip,l2vpn,service_id,service_name,customer_id,sap,ingress_qos_id,egress_qos_id,port,policy,card,mda,fabric_network,fabric_access
DIAMAN-CUL008-GA,7750,10.190.0.102,vpls,90004019,To-CUL-008-01_1-Servicio MW,2,2/1/4:4001,1,1,2/1/4,,2,1,,
DIAMAN-CUL008-GA,7750,10.190.0.102,vpls,90004019,To-CUL-008-01_1-Servicio MW,2,2/1/5:4001,1,1,2/1/5,,2,1,,
DIAMAN-CUL008-GA,7750,10.190.0.102,vpls,90004019,To-CUL-008-01_1-Servicio MW,2,3/1/2:4001,1,1,3/1/2,,3,1,,
DIAMAN-CUL008-GA,7750,10.190.0.102,vpls,90004019,To-CUL-008-01_1-Servicio MW,2,3/1/2:4001,1,1,3/1/2,,3,2,,
INDEPE-CUL002-GA,7750,10.190.0.104,vpls,90004019,To-CUL-002-01_1-Servicio MW,2,3/1/2:4001,1,1,3/1/2,,3,1,,
INDEPE-CUL002-GA,7750,10.190.0.104,vpls,90004019,To-CUL-002-01_1-Servicio MW,2,3/1/2:4001,1,1,3/1/2,,3,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,116,ENLACE-VOIP,4,1/1/4:116,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,116,ENLACE-VOIP,4,3/1/2:116,10,10,3/1/2,,3,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,133,ENLACE-LOCAL-INTERNET,4,1/1/4:133,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,133,ENLACE-LOCAL-INTERNET,4,3/1/2:133,10,10,3/1/2,,3,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,507,ENLACE-FIJA,3,1/1/4:507,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,507,ENLACE-FIJA,3,3/1/2:507,10,10,3/1/2,,3,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,736,COLECTOR_IPN,2,1/1/4:736,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,736,COLECTOR_IPN,2,4/1/8:736,10,10,4/1/8,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,736,COLECTOR_IPN,2,4/1/8:736,10,10,4/1/8,,4,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,210099,vpls-GESTION-MDU,2,1/1/4:99,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,210099,vpls-GESTION-MDU,2,3/1/2:99,10,10,3/1/2,,3,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,238104,VPLS service-1401 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:1876,10,10,4/1/7,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,238104,VPLS service-1401 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:1876,10,10,4/1/7,,4,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,259291,VPLS service-6429 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/8,10,10,5/1/8,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,259291,VPLS service-6429 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/8,10,10,5/1/8,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,267594,VPLS service-6424 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/9,10,10,5/1/9,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,267594,VPLS service-6424 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/9,10,10,5/1/9,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589591,epipe service-6421 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:1934,10,10,4/1/7,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589591,epipe service-6421 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:1934,10,10,4/1/7,,4,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589591,epipe service-6421 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/6,10,10,5/1/6,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589591,epipe service-6421 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/6,10,10,5/1/6,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589592,epipe service-6422 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:1935,10,10,4/1/7,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589592,epipe service-6422 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:1935,10,10,4/1/7,,4,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589592,epipe service-6422 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/7,10,10,5/1/7,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589592,epipe service-6422 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/7,10,10,5/1/7,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589593,epipe service-6423 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/10,10,10,5/1/10,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589593,epipe service-6423 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/10,10,10,5/1/10,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:599,10,10,4/1/7,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,4/1/7:599,10,10,4/1/7,,4,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/4,10,10,5/1/4,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/4,10,10,5/1/4,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/5,10,10,5/1/5,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/5,10,10,5/1/5,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,90004020,SINMAZ0573_GESTION,2,lag-10:4021,1,1,4/1/4,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,90004020,SINMAZ0573_GESTION,2,lag-10:4021,1,1,4/1/4,,4,2,,
SOVADO-MAZ224-GA,7750,10.190.0.107,vpls,90004019,To-MAZ-224-01_1-Servicio MW,2,4/1/3:4001,1,1,4/1/3,,4,1,,
SOVADO-MAZ224-GA,7750,10.190.0.107,vpls,90004019,To-MAZ-224-01_1-Servicio MW,2,4/1/3:4001,1,1,4/1/3,,4,2,,
ZAPATA-MAZ222-GA,7750,10.190.0.108,vpls,90004019,To-MAZ-222-01_1-Servicio MW,2,lag-10:4001,1,1,3/1/3,,3,1,,
