sysname,chassis,source_ip,l2vpn,service_id,service_name,customer_id,spoke_spd_id,spoke_svc_id,sap,far_end_system_ip,port,policy,card,mda,fabric_network,fabric_access
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,238104,VPLS service-1401 MAZMTX-MAZ220-GA (10.190.0.106),2,9168,238104,4/1/7:1876,10.190.1.168,4/1/7,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,238104,VPLS service-1401 MAZMTX-MAZ220-GA (10.190.0.106),2,9168,238104,4/1/7:1876,10.190.1.168,4/1/7,,4,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,259291,VPLS service-6429 MAZMTX-MAZ220-GA (10.190.0.106),2,11152,259291,5/1/8,10.190.0.152,5/1/8,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,259291,VPLS service-6429 MAZMTX-MAZ220-GA (10.190.0.106),2,11152,259291,5/1/8,10.190.0.152,5/1/8,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,267594,VPLS service-6424 MAZMTX-MAZ220-GA (10.190.0.106),2,3228,267594,5/1/9,10.190.0.228,5/1/9,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,267594,VPLS service-6424 MAZMTX-MAZ220-GA (10.190.0.106),2,3228,267594,5/1/9,10.190.0.228,5/1/9,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589591,epipe service-6421 MAZMTX-MAZ220-GA (10.190.0.106),2,11151,589591,5/1/6,10.190.0.151,5/1/6,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589591,epipe service-6421 MAZMTX-MAZ220-GA (10.190.0.106),2,11151,589591,5/1/6,10.190.0.151,5/1/6,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589592,epipe service-6422 MAZMTX-MAZ220-GA (10.190.0.106),2,11151,589592,5/1/7,10.190.0.151,5/1/7,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589592,epipe service-6422 MAZMTX-MAZ220-GA (10.190.0.106),2,11151,589592,5/1/7,10.190.0.151,5/1/7,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589593,epipe service-6423 MAZMTX-MAZ220-GA (10.190.0.106),2,11153,589593,5/1/10,10.190.0.153,5/1/10,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589593,epipe service-6423 MAZMTX-MAZ220-GA (10.190.0.106),2,11153,589593,5/1/10,10.190.0.153,5/1/10,,5,2,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,9168,2384346,5/1/5,10.190.1.168,5/1/5,,5,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,9168,2384346,5/1/5,10.190.1.168,5/1/5,,5,2,,
OBRMTX-CDO531-GA,7750,10.190.0.110,vpls,238432,GPON_FIJA,2,5168,238432,2/1/5:31,10.190.1.168,2/1/5,PS-IPMEAN-OLT-access,2,1,,
OBRMTX-CDO531-GA,7750,10.190.0.110,vpls,238434,TOF-HOBR0015,2,11164,238434,2/1/5:4050,10.190.0.164,2/1/5,PS-IPMEAN-OLT-access,2,1,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,232004,ENALCE-MPLS-393,2,11151,232004,2/1/7:393,10.190.0.151,2/1/7,,2,1,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,249006,249006,1,11152,300,2/1/7:685,10.190.0.152,2/1/7,,2,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,100,MANAGMENT,2,11151,100,1/1/5:2,10.190.0.151,1/1/5,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,100,MANAGMENT,2,11151,100,1/1/5:2,10.190.0.151,1/1/5,,1,2,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232025,INTER-GSM-CUL-MOCHIS-GTAC,2,11151,232025,1/1/5:1406,10.190.0.151,1/1/5,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232025,INTER-GSM-CUL-MOCHIS-GTAC,2,11151,232025,1/1/5:1406,10.190.0.151,1/1/5,,1,2,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232026,INTER-TOTAL-CUL-MOCHIS-GTAC,2,11151,232026,1/1/5:1407,10.190.0.151,1/1/5,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232026,INTER-TOTAL-CUL-MOCHIS-GTAC,2,11151,232026,1/1/5:1407,10.190.0.151,1/1/5,,1,2,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232027,INTER-VOZ-CUL-MOCHIS-GTAC,2,11151,232027,1/1/5:1408,10.190.0.151,1/1/5,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232027,INTER-VOZ-CUL-MOCHIS-GTAC,2,11151,232027,1/1/5:1408,10.190.0.151,1/1/5,,1,2,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232028,INTER-INTERNET-CUL-MOCHIS-GTAC,2,11151,232028,1/1/5:1409,10.190.0.151,1/1/5,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232028,INTER-INTERNET-CUL-MOCHIS-GTAC,2,11151,232028,1/1/5:1409,10.190.0.151,1/1/5,,1,2,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232029,INTER-MORO-CUL-MOCHIS-GTAC,2,11151,232029,1/1/5:1410,10.190.0.151,1/1/5,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,232029,INTER-MORO-CUL-MOCHIS-GTAC,2,11151,232029,1/1/5:1410,10.190.0.151,1/1/5,,1,2,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,238106,CISCO-CULIACAN-MOCHIS,2,11151,238106,1/1/5:1929,10.190.0.151,1/1/5,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,238106,CISCO-CULIACAN-MOCHIS,2,11151,238106,1/1/5:1929,10.190.0.151,1/1/5,,1,2,,
