sysname,chassis,source_ip,l3vpn,service_id,service_name,customer_id,interface,vpls,sap,ingress_qos_id,egress_qos_id,port,policy,card,buffer_min,buffer_max,resv_min,resv_max,shutdown
MAZMTX-MAZ220-GA,7750,10.190.0.106,vprn,439012,NAT-INTERNET-ENLACE,4,ENLACE-LOCAL-INTERNET,ENLACE-LOCAL-INTERNET,1/1/4:133,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vprn,449001,VPRN de Voz - VoIP,3,ENLACE-VOIP,ENLACE-VOIP,1/1/4:116,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,1/1/4:99,10,10,1/1/4,,1,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vprn,1000000,VPRN-OYM-ATT,2,SINMAZ0573_GESTION,SINMAZ0573_GESTION,lag-10:4021,1,1,4/1/4,,4,1,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vprn,1000000,VPRN-OYM-ATT,2,SINMAZ0573_GESTION,SINMAZ0573_GESTION,lag-10:4021,1,1,4/1/4,,4,2,,
OBRMTX-CDO531-GA,7750,10.190.0.110,vprn,1000000,1000000,2,GESTION-MDU,vpls-GESTION-MDU,2/1/5:99,10,10,2/1/5,,2,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,1/1/4:99,10,10,1/1/4,,1,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,1/1/4:99,10,10,1/1/4,,1,2,,
MOCMTX-LML169-GA,7750,10.190.0.113,vprn,1000000,VPRN-OYM-ATT,2,To-TMP-4039-01_1-GestionMW,To-TMP-4039-01_1-GestionMW,8/1/1:4001,10,10,8/1/1,,8,1,,
MOCMTX-LML169-GA,7750,10.190.0.113,vprn,1000000,VPRN-OYM-ATT,2,To-TMP-4039-01_1-GestionMW,To-TMP-4039-01_1-GestionMW,8/1/1:4001,10,10,8/1/1,,8,2,,
NOGALE-NOG001-GA,7750,10.190.0.118,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,2/1/4:99,10,10,2/1/4,,2,1,,
NOGALE-NOG001-GA,7750,10.190.0.118,vprn,1000000,VPRN-OYM-ATT,2,To-MONITOREO-EXFO,To-MONITOREO-FOM,4/1/10,1,1,4/1/10,,4,1,,
NOGALE-NOG001-GA,7750,10.190.0.118,vprn,1000000,VPRN-OYM-ATT,2,To-MONITOREO-EXFO,To-MONITOREO-FOM,4/1/10,1,1,4/1/10,,4,2,,
HERMTX-HMO404-GA,7750,10.190.0.120,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,2/1/5:99,10,10,2/1/5,,2,1,,
