sysname,chassis,source_ip,l3vpn,service_id,service_name,customer_id,interface,spoke_spd_id,spoke_svc_id,sap,ingress_qos_id,egress_qos_id,port,policy,card,mda,fabric_network,fabric_access
TIJERA-JAL5060-GA,7750,10.190.1.158,vprn,1000000,VPRN-OYM-AT&T,2,To-JALTLZ0896_Gestion_MW_O&M,11225,90004021,6/1/5:4001,3000,3000,6/1/5,,6,1,,
TIJERA-JAL5060-GA,7750,10.190.1.158,vprn,1000000,VPRN-OYM-AT&T,2,To-JALTLZ0896_Gestion_MW_O&M,11225,90004021,6/1/5:4001,3000,3000,6/1/5,,6,2,,
TIJERA-JAL5060-GA,7750,10.190.1.158,vprn,1000000,VPRN-OYM-AT&T,2,To-JALTLZ0896_Gestion_MW_O&M,11225,90004021,8/1/3:4001,3000,3000,8/1/3,,8,1,,
TIJERA-JAL5060-GA,7750,10.190.1.158,vprn,1000000,VPRN-OYM-AT&T,2,To-JALTLZ0896_Gestion_MW_O&M,11225,90004021,8/1/3:4001,3000,3000,8/1/3,,8,2,,
TIJERA-JAL5060-GA,7750,10.190.1.158,vprn,1000000,VPRN-OYM-AT&T,2,To-JALTLZ0896_Gestion_MW_O&M,11225,90004021,8/1/4:4001,3000,3000,8/1/4,,8,1,,
TIJERA-JAL5060-GA,7750,10.190.1.158,vprn,1000000,VPRN-OYM-AT&T,2,To-JALTLZ0896_Gestion_MW_O&M,11225,90004021,8/1/4:4001,3000,3000,8/1/4,,8,2,,
MONTER-NVL4038-EB,7750,10.190.1.55,vprn,1000000,1000000,2,To_NEXUS_OyM_DC,11057,224000,1/1/5:26,10,10,1/1/5,,1,1,,
MONTER-NVL4038-EB,7750,10.190.1.55,ies,3204002,3204002,1,GESTION-VANTRIX-BWO-MTY,11057,224005,lag-6:109,10,10,4/1/3,default,4,1,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-1,11177,227014,1/1/5:483,2000,2000,1/1/5,default,1,1,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-1,11177,227014,1/1/5:1807,2000,2000,1/1/5,default,1,1,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-1,11177,227014,2/1/1:483,2000,2000,2/1/1,,2,1,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-1,11177,227014,2/1/1:483,2000,2000,2/1/1,,2,2,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-1,11177,227014,2/1/1:1807,2000,2000,2/1/1,,2,1,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-1,11177,227014,2/1/1:1807,2000,2000,2/1/1,,2,2,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-1,11177,227014,4/1/4:483,2000,2000,4/1/4,,4,1,,
ACAMTX-ACAMTX-EA,7750,10.190.2.175,vprn,429001,VPRN-GSM,2,RNC71-IuPS-2,11177,227015,1/1/5:133,2000,2000,1/1/5,default,1,1,,
