Sysname,model,source,application_ftp,application_snmp,application_snmp_notificacion,application_ssh,application_telnet,application_tftp,application_ptp,dscp_cs1
TIJMTX-BCN1015-CA,7750,10.190.0.0,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
TIJMTX-BCN1015-CB,7750,10.190.0.1,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
CULMTX-CUL011-CA,7750,10.190.0.100,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
CULMTX-CUL011-CB,7750,10.190.0.101,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
DIAMAN-CUL008-GA,7750,10.190.0.102,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
TV_AZT-CUL003-GA,7750,10.190.0.103,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
INDEPE-CUL002-GA,7750,10.190.0.104,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
CULGTA-IUSTB00921-WA,7750,10.190.0.105,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
MAZMTX-MAZ220-GA,7750,10.190.0.106,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
SOVADO-MAZ224-GA,7750,10.190.0.107,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
ZAPATA-MAZ222-GA,7750,10.190.0.108,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
GUAYMA-GUY480-GA,7750,10.190.0.109,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
ALAMOS-BCN1043-AA,7705,10.190.0.11,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
OBRMTX-CDO531-GA,7750,10.190.0.110,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
MAGIST-GML120-GA,7750,10.190.0.111,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
MOCMTX-LML169-GA,7750,10.190.0.113,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
VILSOL-LML167-GA,7750,10.190.0.114,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
NAVOJO-NVJ468-GA,7750,10.190.0.115,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
NOGALE-NOG001-GA,7750,10.190.0.118,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
OBRGTA-IUSTB00924-WA,7750,10.190.0.119,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
ALAMOS-BCN1043-AB,7705,10.190.0.12,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
HERMTX-HMO404-GA,7750,10.190.0.120,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
CULTUR-HMO437-GA,7750,10.190.0.121,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
NAVGTA-IUSTB00923-WA,7750,10.190.0.122,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
LAZCAR-HMO403-GA,7750,10.190.0.123,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
MCHGTA-IUSTB00934-WA,7750,10.190.0.124,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
LOMLIN-HMO400-GA,7750,10.190.0.126,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
GUAGTA-IUSTB00922-WA,7750,10.190.0.127,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
KINO-HMO429-GA,7750,10.190.0.128,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
NOGGTA-IUSTB00928-WA,7750,10.190.0.129,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
MARMOL-BCN1044-AA,7705,10.190.0.13,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
HERMTX-HMO404-AA,7705,10.190.0.130,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
LAZCAR-HMO403-AA,7705,10.190.0.131,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
HERGTA-IUSTB00926-WA,7750,10.190.0.132,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
DIAMAN-CUL008-AA,7705,10.190.0.134,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
TV_AZT-CUL003-AA,7705,10.190.0.135,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
INDEPE-CUL002-AA,7705,10.190.0.136,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
GUAYMA-GUY480-AA,7705,10.190.0.137,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
MAGIST-GML120-AA,7705,10.190.0.138,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
STAGTA-IUSTB00927-WA,7750,10.190.0.139,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
TECATE-BCN1037-AA,7705,10.190.0.14,cs1,cs1,cs1,cs1,cs1,cs1,ef,1
