Sysname,model,source,networ,description
TIJMTX-BCN1015-CA,7750,10.190.0.0,1000,IPMEAN-internal:standard_policy:7xFCs
TIJMTX-BCN1015-CB,7750,10.190.0.1,1000,IPMEAN-internal:standard_policy:7xFCs
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,1000,IPMEAN-internal:standard_policy:7xFCs
CULMTX-CUL011-CA,7750,10.190.0.100,1000,IPMEAN-internal:standard_policy:7xFCs
CULMTX-CUL011-CB,7750,10.190.0.101,1000,IPMEAN-internal:standard_policy:7xFCs
DIAMAN-CUL008-GA,7750,10.190.0.102,1000,IPMEAN-internal:standard_policy:7xFCs
TV_AZT-CUL003-GA,7750,10.190.0.103,1000,IPMEAN-internal:standard_policy:7xFCs
INDEPE-CUL002-GA,7750,10.190.0.104,1000,IPMEAN-internal:standard_policy:7xFCs
CULGTA-IUSTB00921-WA,7750,10.190.0.105,1000,IPMEAN-internal:standard_policy:7xFCs
MAZMTX-MAZ220-GA,7750,10.190.0.106,1000,IPMEAN-internal:standard_policy:7xFCs
SOVADO-MAZ224-GA,7750,10.190.0.107,1000,IPMEAN-internal:standard_policy:7xFCs
ZAPATA-MAZ222-GA,7750,10.190.0.108,1000,IPMEAN-internal:standard_policy:7xFCs
GUAYMA-GUY480-GA,7750,10.190.0.109,1000,IPMEAN-internal:standard_policy:7xFCs
OBRMTX-CDO531-GA,7750,10.190.0.110,1000,IPMEAN-internal:standard_policy:7xFCs
MAGIST-GML120-GA,7750,10.190.0.111,1000,IPMEAN-internal:standard_policy:7xFCs
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,1000,IPMEAN-internal:standard_policy:7xFCs
MOCMTX-LML169-GA,7750,10.190.0.113,1000,IPMEAN-internal:standard_policy:7xFCs
VILSOL-LML167-GA,7750,10.190.0.114,1000,IPMEAN-internal:standard_policy:7xFCs
NAVOJO-NVJ468-GA,7750,10.190.0.115,1000,IPMEAN-internal:standard_policy:7xFCs
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,1000,IPMEAN-internal:standard_policy:7xFCs
NOGALE-NOG001-GA,7750,10.190.0.118,1000,IPMEAN-internal:standard_policy:7xFCs
OBRGTA-IUSTB00924-WA,7750,10.190.0.119,1000,IPMEAN-internal:standard_policy:7xFCs
HERMTX-HMO404-GA,7750,10.190.0.120,1000,IPMEAN-internal:standard_policy:7xFCs
CULTUR-HMO437-GA,7750,10.190.0.121,1000,IPMEAN-internal:standard_policy:7xFCs
NAVGTA-IUSTB00923-WA,7750,10.190.0.122,1000,IPMEAN-internal:standard_policy:7xFCs
LAZCAR-HMO403-GA,7750,10.190.0.123,1000,IPMEAN-internal:standard_policy:7xFCs
MCHGTA-IUSTB00934-WA,7750,10.190.0.124,1000,IPMEAN-internal:standard_policy:7xFCs
LOMLIN-HMO400-GA,7750,10.190.0.126,1000,IPMEAN-internal:standard_policy:7xFCs
GUAGTA-IUSTB00922-WA,7750,10.190.0.127,1000,IPMEAN-internal:standard_policy:7xFCs
KINO-HMO429-GA,7750,10.190.0.128,1000,IPMEAN-internal:standard_policy:7xFCs
NOGGTA-IUSTB00928-WA,7750,10.190.0.129,1000,IPMEAN-internal:standard_policy:7xFCs
HERGTA-IUSTB00926-WA,7750,10.190.0.132,1000,IPMEAN-internal:standard_policy:7xFCs
STAGTA-IUSTB00927-WA,7750,10.190.0.139,1000,IPMEAN-internal:standard_policy:7xFCs
PPEGTA-IUSTB00935-WA,7750,10.190.0.140,1000,IPMEAN-internal:standard_policy:7xFCs
CABALL-BCN1009-GA,7750,10.190.0.15,1000,IPMEAN-internal:standard_policy:7xFCs
CULMTX-CUL011-EA,7750,10.190.0.151,1000,IPMEAN-internal:standard_policy:7xFCs
CULMTX-CUL011-EB,7750,10.190.0.152,1000,IPMEAN-internal:standard_policy:7xFCs
CULMTX-CUL011-SA,7450,10.190.0.153,1000,IPMEAN-internal:standard_policy:7xFCs
CULMTX-CUL011-SB,7450,10.190.0.154,1000,IPMEAN-internal:standard_policy:7xFCs
MORTVA-BCN1028-GA,7750,10.190.0.16,1000,IPMEAN-internal:standard_policy:7xFCs
CUL-R20-EA,7750,10.190.0.160,1000,IPMEAN-internal:standard_policy:7xFCs
CUL-R20-EB,7750,10.190.0.161,1000,IPMEAN-internal:standard_policy:7xFCs
HER-R10-EA,7750,10.190.0.164,1000,IPMEAN-internal:standard_policy:7xFCs
HER-R10-EB,7750,10.190.0.165,1000,IPMEAN-internal:standard_policy:7xFCs
CBS-R11-EA,7750,10.190.0.168,1000,IPMEAN-internal:standard_policy:7xFCs
CBS-R11-EB,7750,10.190.0.169,1000,IPMEAN-internal:standard_policy:7xFCs
MELGTA-IUSTB00933-WA,7750,10.190.0.17,1000,IPMEAN-internal:standard_policy:7xFCs
REVOLU-BCN1042-GA,7750,10.190.0.2,1000,IPMEAN-internal:standard_policy:7xFCs
TIJMTX-BCN1015-EA,7750,10.190.0.20,1000,IPMEAN-internal:standard_policy:7xFCs
CHIMTX-CHI100-CA,7750,10.190.0.200,1000,IPMEAN-internal:standard_policy:7xFCs
PASITO-CHI106-GA,7750,10.190.0.202,1000,IPMEAN-internal:standard_policy:7xFCs
FRESNO-CHI117-GA,7750,10.190.0.207,1000,IPMEAN-internal:standard_policy:7xFCs
CHIGTA-IUSTB00930-WA,7750,10.190.0.208,1000,IPMEAN-internal:standard_policy:7xFCs
TORMTX-TOR250-CA,7750,10.190.0.209,1000,IPMEAN-internal:standard_policy:7xFCs
TIJMTX-BCN1015-EB,7750,10.190.0.21,1000,IPMEAN-internal:standard_policy:7xFCs
TORMTX-TOR250-CB,7750,10.190.0.210,1000,IPMEAN-internal:standard_policy:7xFCs
GOMPAL-TOR253-GA,7750,10.190.0.211,1000,IPMEAN-internal:standard_policy:7xFCs
PARIND-TOR265-GA,7750,10.190.0.212,1000,IPMEAN-internal:standard_policy:7xFCs
AIRSOU-TOR256-GA,7750,10.190.0.213,1000,IPMEAN-internal:standard_policy:7xFCs
BOLONI-TOR261-GA,7750,10.190.0.214,1000,IPMEAN-internal:standard_policy:7xFCs
MOCGTA-IUSTB00931-WA,7750,10.190.0.215,1000,IPMEAN-internal:standard_policy:7xFCs
CGOGTA-IUSTB00967-WA,7750,10.190.0.216,1000,IPMEAN-internal:standard_policy:7xFCs
PARGTA-IUSTB00968-WA,7750,10.190.0.217,1000,IPMEAN-internal:standard_policy:7xFCs
SOUCEN-TOR251-GA,7750,10.190.0.218,1000,IPMEAN-internal:standard_policy:7xFCs
GOMGTA-IUSTB00939-WA,7750,10.190.0.219,1000,IPMEAN-internal:standard_policy:7xFCs
ENSGTA-IUSTB0098-WA,7750,10.190.0.22,1000,IPMEAN-internal:standard_policy:7xFCs
PARRAL-HGP375-GA,7750,10.190.0.220,1000,IPMEAN-internal:standard_policy:7xFCs
JUAMTX-JUA002-CA,7750,10.190.0.221,1000,IPMEAN-internal:standard_policy:7xFCs
JUAMTX-JUA002-CB,7750,10.190.0.222,1000,IPMEAN-internal:standard_policy:7xFCs
SANLUC-JUA011-GA,7750,10.190.0.223,1000,IPMEAN-internal:standard_policy:7xFCs
GRANJE-JUA008-GA,7750,10.190.0.224,1000,IPMEAN-internal:standard_policy:7xFCs
EASCEN-JUA009-GA,7750,10.190.0.225,1000,IPMEAN-internal:standard_policy:7xFCs
PRADER-JUA035-GA,7750,10.190.0.226,1000,IPMEAN-internal:standard_policy:7xFCs
FRAVIL-DGO604-GA,7750,10.190.0.227,1000,IPMEAN-internal:standard_policy:7xFCs
DURMTX-DGO602-GA,7750,10.190.0.228,1000,IPMEAN-internal:standard_policy:7xFCs
TVAZTE-DGO600-GA,7750,10.190.0.229,1000,IPMEAN-internal:standard_policy:7xFCs
ENSENA-BCN1051-GA,7750,10.190.0.23,1000,IPMEAN-internal:standard_policy:7xFCs
JERGTA-IUSTB00929-WA,7750,10.190.0.233,1000,IPMEAN-internal:standard_policy:7xFCs
DURGTA-IUSTB00900-WA,7750,10.190.0.234,1000,IPMEAN-internal:standard_policy:7xFCs
TORMTX-TOR250-EA,7750,10.190.0.235,1000,IPMEAN-internal:standard_policy:7xFCs
TORMTX-TOR250-EB,7750,10.190.0.236,1000,IPMEAN-internal:standard_policy:7xFCs
TORMTX-TOR250-SA,7450,10.190.0.237,1000,IPMEAN-internal:standard_policy:7xFCs
TORMTX-TOR250-SB,7450,10.190.0.238,1000,IPMEAN-internal:standard_policy:7xFCs
JUAGTA-IUSTB00960-WA,7750,10.190.0.239,1000,IPMEAN-internal:standard_policy:7xFCs
TECGTA-IUSTB00932-WA,7750,10.190.0.24,1000,IPMEAN-internal:standard_policy:7xFCs
CHIMTX-CHI100-EA,7750,10.190.0.245,1000,IPMEAN-internal:standard_policy:7xFCs
CHIMTX-CHI100-EB,7750,10.190.0.246,1000,IPMEAN-internal:standard_policy:7xFCs
CHIMTX-CHI100-SA,7450,10.190.0.247,1000,IPMEAN-internal:standard_policy:7xFCs
CHIMTX-CHI100-SB,7450,10.190.0.248,1000,IPMEAN-internal:standard_policy:7xFCs
TECATE-BCN1037-GA,7750,10.190.0.25,1000,IPMEAN-internal:standard_policy:7xFCs
TORGTA-IUSTB00940-WA,7750,10.190.0.252,1000,IPMEAN-internal:standard_policy:7xFCs
SRLGTA-IUSTB00989-WA,7750,10.190.0.26,1000,IPMEAN-internal:standard_policy:7xFCs
LCAMTX-BCS1003-CA,7750,10.190.0.30,1000,IPMEAN-internal:standard_policy:7xFCs
LCAMTX-BCS1003-CB,7750,10.190.0.31,1000,IPMEAN-internal:standard_policy:7xFCs
TIJMTX-BCN1015-SA,7450,10.190.0.32,1000,IPMEAN-internal:standard_policy:7xFCs
TIJMTX-BCN1015-SB,7450,10.190.0.33,1000,IPMEAN-internal:standard_policy:7xFCs
PAZIND-BCS1015-GA,7750,10.190.0.37,1000,IPMEAN-internal:standard_policy:7xFCs
GTALAP-IUSTB00988-WA,7750,10.190.0.38,1000,IPMEAN-internal:standard_policy:7xFCs
OTAY-BCN1051-GA,7750,10.190.0.4,1000,IPMEAN-internal:standard_policy:7xFCs
CABSLU-BCS1012-GA,7750,10.190.0.41,1000,IPMEAN-internal:standard_policy:7xFCs
LDSGTA-IUSTB00957-WA,7750,10.190.0.42,1000,IPMEAN-internal:standard_policy:7xFCs
LCAMTX-BCS1003-EA,7750,10.190.0.49,1000,IPMEAN-internal:standard_policy:7xFCs
LCAMTX-BCS1003-EB,7750,10.190.0.50,1000,IPMEAN-internal:standard_policy:7xFCs
LCAMTX-BCS1003-SA,7450,10.190.0.51,1000,IPMEAN-internal:standard_policy:7xFCs
LCAMTX-BCS1003-SB,7450,10.190.0.52,1000,IPMEAN-internal:standard_policy:7xFCs
TIJ-M5-CA,7750,10.190.0.54,1000,IPMEAN-internal:standard_policy:7xFCs
TIJ-M5-CB,7750,10.190.0.55,1000,IPMEAN-internal:standard_policy:7xFCs
TIJ-M5-EA,7750,10.190.0.56,1000,IPMEAN-internal:standard_policy:7xFCs
TIJ-M5-EB,7750,10.190.0.57,1000,IPMEAN-internal:standard_policy:7xFCs
FLORID-BCN1070-GA,7750,10.190.0.6,1000,IPMEAN-internal:standard_policy:7xFCs
ALAMOS-BCN1043-GA,7750,10.190.0.7,1000,IPMEAN-internal:standard_policy:7xFCs
PALMAS-BCN1065-GA,7750,10.190.0.8,1000,IPMEAN-internal:standard_policy:7xFCs
MARMOL-BCN1044-GA,7750,10.190.0.9,1000,IPMEAN-internal:standard_policy:7xFCs
JUAMTX-JUA002-EA,7750,10.190.1.0,1000,IPMEAN-internal:standard_policy:7xFCs
JUAMTX-JUA002-EB,7750,10.190.1.1,1000,IPMEAN-internal:standard_policy:7xFCs
IUSATE-TMP4008-GA,7750,10.190.1.100,1000,IPMEAN-internal:standard_policy:7xFCs
LASFUE-TMP4017-GA,7750,10.190.1.102,1000,IPMEAN-internal:standard_policy:7xFCs
MATAMO-TMP4011-GA,7750,10.190.1.104,1000,IPMEAN-internal:standard_policy:7xFCs
SALUAC-COA4025-GA,7750,10.190.1.107,1000,IPMEAN-internal:standard_policy:7xFCs
VICGTA-IUSTB00986-WA,7750,10.190.1.110,1000,IPMEAN-internal:standard_policy:7xFCs
CDVICT-CVM330-GA,7750,10.190.1.111,1000,IPMEAN-internal:standard_policy:7xFCs
LAJGTA-IUSTB00961-WA,7750,10.190.1.113,1000,IPMEAN-internal:standard_policy:7xFCs
MONGTA-IUSTB00936-WA,7750,10.190.1.114,1000,IPMEAN-internal:standard_policy:7xFCs
MONCLO-COA4012L-GA,7750,10.190.1.115,1000,IPMEAN-internal:standard_policy:7xFCs
PNEGTA-IUSTB00897-WA,7750,10.190.1.117,1000,IPMEAN-internal:standard_policy:7xFCs
PIENEG-NVL4038-GA,7750,10.190.1.119,1000,IPMEAN-internal:standard_policy:7xFCs
ALTGTA-IUSTB00902-WA,7750,10.190.1.121,1000,IPMEAN-internal:standard_policy:7xFCs
SABGTA-IUSTB00937-WA,7750,10.190.1.122,1000,IPMEAN-internal:standard_policy:7xFCs
TAMMTX-TAMREP011-CA,7750,10.190.1.124,1000,IPMEAN-internal:standard_policy:7xFCs
TAMMTX-TAMREP011-CB,7750,10.190.1.125,1000,IPMEAN-internal:standard_policy:7xFCs
TAMMTX-TAMREP011-EA,7750,10.190.1.128,1000,IPMEAN-internal:standard_policy:7xFCs
TAMMTX-TAMREP011-EB,7750,10.190.1.129,1000,IPMEAN-internal:standard_policy:7xFCs
