Sysname,model,source,description
TIJMTX-BCN1015-CA,7750,10.190.0.0,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJMTX-BCN1015-CB,7750,10.190.0.1,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULMTX-CUL011-CA,7750,10.190.0.100,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULMTX-CUL011-CB,7750,10.190.0.101,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
DIAMAN-CUL008-GA,7750,10.190.0.102,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TV_AZT-CUL003-GA,7750,10.190.0.103,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
INDEPE-CUL002-GA,7750,10.190.0.104,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULGTA-IUSTB00921-WA,7750,10.190.0.105,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MAZMTX-MAZ220-GA,7750,10.190.0.106,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SOVADO-MAZ224-GA,7750,10.190.0.107,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ZAPATA-MAZ222-GA,7750,10.190.0.108,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GUAYMA-GUY480-GA,7750,10.190.0.109,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
OBRMTX-CDO531-GA,7750,10.190.0.110,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MAGIST-GML120-GA,7750,10.190.0.111,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MOCMTX-LML169-GA,7750,10.190.0.113,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
VILSOL-LML167-GA,7750,10.190.0.114,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NAVOJO-NVJ468-GA,7750,10.190.0.115,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NOGALE-NOG001-GA,7750,10.190.0.118,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
OBRGTA-IUSTB00924-WA,7750,10.190.0.119,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
HERMTX-HMO404-GA,7750,10.190.0.120,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULTUR-HMO437-GA,7750,10.190.0.121,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NAVGTA-IUSTB00923-WA,7750,10.190.0.122,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LAZCAR-HMO403-GA,7750,10.190.0.123,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MCHGTA-IUSTB00934-WA,7750,10.190.0.124,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LOMLIN-HMO400-GA,7750,10.190.0.126,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GUAGTA-IUSTB00922-WA,7750,10.190.0.127,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
KINO-HMO429-GA,7750,10.190.0.128,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NOGGTA-IUSTB00928-WA,7750,10.190.0.129,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
HERGTA-IUSTB00926-WA,7750,10.190.0.132,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
STAGTA-IUSTB00927-WA,7750,10.190.0.139,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PPEGTA-IUSTB00935-WA,7750,10.190.0.140,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CABALL-BCN1009-GA,7750,10.190.0.15,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULMTX-CUL011-EA,7750,10.190.0.151,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULMTX-CUL011-EB,7750,10.190.0.152,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULMTX-CUL011-SA,7450,10.190.0.153,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CULMTX-CUL011-SB,7450,10.190.0.154,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MORTVA-BCN1028-GA,7750,10.190.0.16,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CUL-R20-EA,7750,10.190.0.160,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CUL-R20-EB,7750,10.190.0.161,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
HER-R10-EA,7750,10.190.0.164,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
HER-R10-EB,7750,10.190.0.165,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CBS-R11-EA,7750,10.190.0.168,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CBS-R11-EB,7750,10.190.0.169,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MELGTA-IUSTB00933-WA,7750,10.190.0.17,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
REVOLU-BCN1042-GA,7750,10.190.0.2,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJMTX-BCN1015-EA,7750,10.190.0.20,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHIMTX-CHI100-CA,7750,10.190.0.200,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PASITO-CHI106-GA,7750,10.190.0.202,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FRESNO-CHI117-GA,7750,10.190.0.207,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHIGTA-IUSTB00930-WA,7750,10.190.0.208,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TORMTX-TOR250-CA,7750,10.190.0.209,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJMTX-BCN1015-EB,7750,10.190.0.21,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TORMTX-TOR250-CB,7750,10.190.0.210,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GOMPAL-TOR253-GA,7750,10.190.0.211,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PARIND-TOR265-GA,7750,10.190.0.212,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
AIRSOU-TOR256-GA,7750,10.190.0.213,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
