sysname,chassis,source_ip,l3vpn,service_id,service_name,customer_id,interface,sap,ingress_qos_id,egress_qos_id,buffer_min,buffer_max,resv_min,resv_max
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-BlackDiamond-717,1/1/5,1,1,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-Monitor-MW11,2/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-Gestion-MW,2/1/6,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-MONITOR_MW1,2/1/3,1,1,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-MW-GESTION_SITIOS_GSM,2/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-Monitor-MW12,2/1/2,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-MONITOREO-SITIOS1,2/1/6,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-GESTION-MW-CERAGON,1/1/5,1,1,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,409001,SBC ACME-O&M,1,To-GESTION-MW-HUAWEI,1/1/5,1,1,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-BLACKDIAMOND-700-SERV,1/1/5,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-GU-PUE-REP015H,2/1/2,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-GU-PUE-7020,2/1/4,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-GU-PUE-7108,2/1/5,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-GU-PUE-7099,2/1/5,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-GU-PUE-7019,2/1/5,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-GU-PUE-7046,2/1/5,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vprn,429001,SBC-GSM-ACME,2,To-GU-OAX-7028,2/1/5,2000,2000,25.00,25.00,30.00,30.00
