sysname,chassis,source_ip,l2vpn,service_id,service_name,customer_id,sap,ingress_qos_id,egress_qos_id,buffer_min,buffer_max,resv_min,resv_max
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,100,rvpls-100,2,2/1/7,50,50,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,100,rvpls-100,2,2/1/8,50,50,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,218016,INTERCON-GSM-PUE-TELE,2,1/1/5,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,218059,ENLACE-MPLS-R7-A3,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227001,VPLS_GSM_To-OAXGTAC07-WAM,2,1/1/5,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/1,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/2,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227003,CONEXION_VLAN133,2,2/1/6,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227120,TO-PTN1,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227121,227121,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227122,TO-PTN1_2,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227123,TO-PTN1_3,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227124,227124,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227125,227125,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227126,TO-PTN1_6,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227127,TO-PTN2_1,2,1/1/5,3000,3000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227128,TO-PTN2_2,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227129,TO-PTN3,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227130,227130,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227131,TO-PTN5,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227132,TO-PTN5_2,2,1/1/5,10,10,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227170,vpls-IuCS_CP_1_RNC170,2,4/1/2,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227171,vpls-IuCS_CP_2_RNC170,2,4/1/3,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227172,vpls-IuCS_UP_1_RNC170,2,4/1/2,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227173,vpls-IuCS_UP_2_RNC170,2,4/1/3,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227174,vpls-IuR_CP_RNC170,2,4/1/2,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227174,vpls-IuR_CP_RNC170,2,4/1/3,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227175,vpls-IuR_UP_RNC170,2,4/1/2,2000,2000,25.00,25.00,30.00,30.00
PUEMTX-PUE7020-EB,7750,10.190.2.112,vpls,227175,vpls-IuR_UP_RNC170,2,4/1/3,2000,2000,25.00,25.00,30.00,30.00
